Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,San Francisco, California,1986-08-31,0000039911,/wiki/Gap_(The)
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland,2012-12-12,0001121788,/wiki/Garmin_Ltd.
GD,General Dynamics,reports,Industrials,Aerospace & Defense,Falls Church, Virginia,,0000040533,/wiki/General_Dynamics
GE,General Electric,reports,Industrials,Industrial Conglomerates,Fairfield, Connecticut,,0000040545,/wiki/General_Electric
GGP,General Growth Properties Inc.,reports,Financials,REITs,Chicago, Illinois,2013-12-10,0000895648,/wiki/General_Growth_Properties_Inc.
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota,1969-03-31,0000040704,/wiki/General_Mills
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan,2013-06-06,0001467858,/wiki/General_Motors
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,Atlanta, Georgia,1973-12-31,0000040987,/wiki/Genuine_Parts
GILD,Gilead Sciences,reports,Health Care,Biotechnology,Foster City, California,,0000882095,/wiki/Gilead_Sciences
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,New York, New York,,0000886982,/wiki/Goldman_Sachs_Group
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,Akron, Ohio,,0000042582,/wiki/Goodyear_Tire_%26_Rubber
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,Lake Forest, Illinois,1981-06-30,0000277135,/wiki/Grainger_(W.W.)_Inc.
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,,0000045012,/wiki/Halliburton_Co.
HBI,Hanesbrands Inc,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Winston-Salem, North Carolina,2015-03-20,0001359841,/wiki/Hanesbrands_Inc
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee, Wisconsin,,0000793952,/wiki/Harley-Davidson
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,Stamford, Connecticut,,0000800459,/wiki/Harman_Int%27l_Industries
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,Melbourne, Florida,2008-09-22,0000202058,/wiki/Harris_Corporation
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,Hartford, Connecticut,,0000874766,/wiki/Hartford_Financial_Svc.Gp.
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island,1984-09-30,0000046080,/wiki/Hasbro_Inc.
HCA,HCA Holdings,reports,Health Care,Health Care Facilities,Nashville, Tennessee,2015-01-27,0000860730,/wiki/HCA_Holdings
HCP,HCP Inc.,reports,Financials,REITs,Long Beach, California,2008-03-31,0000765880,/wiki/HCP_Inc.
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,Tulsa, Oklahoma[5],,0000046765,/wiki/Helmerich_%26_Payne
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,New York, New York,1984-05-31,0000004447,/wiki/Hess_Corporation
HPE,Hewlett Packard Enterprise,reports,Information Technology,Technology Hardware, Storage & Peripherals,Palo Alto, California,2015-11-02,0001645590,/wiki/Hewlett_Packard_Enterprise
HOLX,Hologic,reports,Health Care,Health Care Equipment,Marlborough, Massachusetts,2016-03-30,0000859737,/wiki/Hologic
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,1988-03-31,0000354950,/wiki/Home_Depot
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,Morristown, New Jersey,,0000773840,/wiki/Honeywell_Int%27l_Inc.
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,2009-03-04,0000048465,/wiki/Hormel_Foods_Corp.
HST,Host Hotels & Resorts,reports,Financials,REITs,Bethesda, Maryland,2007-03-20,0001070750,/wiki/Host_Hotels_%26_Resorts
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,Palo Alto, California,1974-12-31,0000047217,/wiki/HP_Inc.
HUM,Humana Inc.,reports,Health Care,Managed Health Care,Louisville, Kentucky,,0000049071,/wiki/Humana_Inc.
HBAN,Huntington Bancshares,reports,Financials,Banks,Columbus, Ohio,,0000049196,/wiki/Huntington_Bancshares
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,Glenview, Illinois,1986-02-28,0000049826,/wiki/Illinois_Tool_Works
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,San Diego, California,2015-11-19,0001110803,/wiki/Illumina_(company)
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,Dublin, Ireland,2010-11-17,0001466258,/wiki/Ingersoll-Rand_PLC
INTC,Intel Corp.,reports,Information Technology,Semiconductors,Santa Clara, California,1976-12-31,0000050863,/wiki/Intel_Corp.
ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,Atlanta, Georgia,2007-09-26,0001571949,/wiki/Intercontinental_Exchange
IBM,International Bus. Machines,reports,Information Technology,IT Consulting & Services,Armonk, New York,,0000051143,/wiki/IBM
IP,International Paper,reports,Materials,Paper Products,Memphis, Tennessee,,0000051434,/wiki/International_Paper
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,New York, New York,1992-10-01,0000051644,/wiki/Interpublic_Group
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,New York, New York,1976-03-31,0000051253,/wiki/Intl_Flavors_%26_Fragrances
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,Mountain View, California,2000-12-05,0000896878,/wiki/Intuit_Inc.
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment & Services,Sunnyvale, California,2008-06-02,0001035267,/wiki/Intuitive_Surgical_Inc.
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,Atlanta, Georgia,2008-08-21,0000914208,/wiki/Invesco_Ltd.
IRM,Iron Mountain Incorporated,reports,Industrials,Data Processing Services,Boston, Massachusetts,2009-01-06,0001020569,/wiki/Iron_Mountain_Incorporated
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,Pasadena, California,2007-10-26,0000052988,/wiki/Jacobs_Engineering_Group
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,Lowell, Arkansas,2015-07-01,0000728535,/wiki/J._B._Hunt_Transport_Services
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment & Services,New Brunswick, New Jersey,1973-06-30,0000200406,/wiki/Johnson_%26_Johnson
JCI,Johnson Controls,reports,Consumer Discretionary,Auto Parts & Equipment,Milwaukee, Wisconsin,1986-05-31,0000053669,/wiki/Johnson_Controls
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,New York, New York,1975-06-30,0000019617,/wiki/JPMorgan_Chase_%26_Co.
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,Sunnyvale, California,,0001043604,/wiki/Juniper_Networks
KSU,Kansas City Southern,reports,Industrials,Railroads,Kansas City, Missouri,2013-05-24,0000054480,/wiki/Kansas_City_Southern
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan,,0000055067,/wiki/Kellogg_Co.
KEY,KeyCorp,reports,Financials,Banks,Cleveland, Ohio,1994-03-01,0000091576,/wiki/KeyCorp
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,Irving, Texas,,0000055785,/wiki/Kimberly-Clark
KIM,Kimco Realty,reports,Financials,REITs,New Hyde Park, New York,,0000879101,/wiki/Kimco_Realty
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,2012-05-25,0001506307,/wiki/Kinder_Morgan
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,Milpitas, California,,0000319201,/wiki/KLA-Tencor_Corp.
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,Menomonee Falls, Wisconsin,,0000885639,/wiki/Kohl%27s_Corp.
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,Northfield, Illinois,2012-10-02,0001545158,/wiki/Kraft_Heinz
KR,Kroger Co.,reports,Consumer Staples,Food Retail,Cincinnati, Ohio,,0000056873,/wiki/Kroger_Co.
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,Columbus, Ohio,1983-09-30,0000701985,/wiki/L_Brands_Inc.
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,New York, New York,,0001056239,/wiki/L-3_Communications_Holdings
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,Burlington, North Carolina,,0000920148,/wiki/Laboratory_Corp._of_America_Holding
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,Fremont, California,2012-06-29,0000707549,/wiki/Lam_Research
LM,Legg Mason,reports,Financials,Asset Management & Custody Banks,Baltimore, Maryland,,0000704051,/wiki/Legg_Mason
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,Carthage, Missouri,,0000058492,/wiki/Leggett_%26_Platt
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,Miami, Florida,,0000920760,/wiki/Lennar_Corp.
LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,Broomfield, Colorado,2014-11-05,0000794323,/wiki/Level_3_Communications
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,New York, New York,2007-08-27,0000096223,/wiki/Leucadia_National_Corp.
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,Indianapolis, Indiana,1970-12-31,0000059478,/wiki/Lilly_(Eli)_%26_Co.
LNC,Lincoln National,reports,Financials,Multi-line Insurance,Radnor, Pennsylvania,1976-06-30,0000059558,/wiki/Lincoln_National
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,Milpitas, California,,0000791907,/wiki/Linear_Technology_Corp.
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,Bethesda, Maryland,1984-07-31,0000936468,/wiki/Lockheed_Martin_Corp.
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,New York, New York,,0000060086,/wiki/Loews_Corp.
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,Mooresville, North Carolina,1984-02-29,0000060667,/wiki/Lowe%27s_Cos.
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,Rotterdam, Netherlands,2012-09-05,0001489393,/wiki/LyondellBasell
MTB,M&T Bank Corp.,reports,Financials,Banks,Buffalo, New York,,0000036270,/wiki/M%26T_Bank_Corp.
MAC,Macerich,reports,Financials,Retail REITs,Santa Monica, California,2013-05-09,0000912242,/wiki/Macerich
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,Cincinnati, Ohio,,0000794367,/wiki/Macy%27s_Inc.
MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2014-08-19,0001567892,/wiki/Mallinckrodt_Plc
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,1991-05-01,0000101778,/wiki/Marathon_Oil_Corp.
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Findlay, Ohio,2011-07-01,0001510295,/wiki/Marathon_Petroleum
MAR,Marriott Int'l.,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Bethesda, Maryland,,0001048286,/wiki/Marriott_Int%27l.
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York, New York,1987-08-31,0000062709,/wiki/Marsh_%26_McLennan
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,Raleigh, North Carolina,2014-07-02,0000916076,/wiki/Martin_Marietta_Materials
MAS,Masco Corp.,reports,Industrials,Building Products,Taylor, Michigan,1981-06-30,0000062996,/wiki/Masco_Corp.
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,Harrison, New York,2008-07-18,0001141391,/wiki/Mastercard_Inc.
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,El Segundo, California,1982-03-31,0000063276,/wiki/Mattel_Inc.
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,Sparks, Maryland,,0000063754,/wiki/McCormick_%26_Co.
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,Oak Brook, Illinois,1970-06-30,0000063908,/wiki/McDonald%27s_Corp.
MHFI,McGraw Hill Financial,reports,Financials,Diversified Financial Services,New York, New York,,0000064040,/wiki/McGraw_Hill_Financial
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors & Services,San Francisco, California,,0000927653,/wiki/McKesson_Corp.
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,Glenview, Illinois,2009-12-21,0001452575,/wiki/Mead_Johnson
WRK,Westrock Co,reports,Materials,Paper Packaging,Richmond, Virginia,,0001636023,/w/index.php?title=Westrock_Co&action=edit&redlink=1
MDT,Medtronic plc,reports,Health Care,Health Care Equipment & Services,Dublin, Ireland,1986-10-31,0000064670,/wiki/Medtronic_plc
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,Whitehouse Station, New Jersey,,0000310158,/wiki/Merck_%26_Co.
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,New York, New York,,0001099219,/wiki/MetLife_Inc.
KORS,Michael Kors Holdings,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2013-11-13,0001530721,/wiki/Michael_Kors_Holdings
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,Chandler, Arizona,2007-09-07,0000827054,/wiki/Microchip_Technology
MU,Micron Technology,reports,Information Technology,Semiconductors,Boise, Idaho,1994-09-27,0000723125,/wiki/Micron_Technology
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,Redmond, Washington,1994-06-01,0000789019,/wiki/Microsoft_Corp.
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,Amsterdam, New York,2013-12-23,0000851968,/wiki/Mohawk_Industries
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,Denver, Colorado,1976-06-30,0000024545,/wiki/Molson_Coors_Brewing_Company
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,Northfield, Illinois,2012-10-02,0001103982,/wiki/Mondelez
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,Creve Coeur, Missouri,,0001110783,/wiki/Monsanto_Co.
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,Corona, California,2012-06-28,0000865752,/wiki/Monster_Beverage
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,New York, New York,,0001059556,/wiki/Moody%27s_Corp
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York, New York,,0000895421,/wiki/Morgan_Stanley
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,Plymouth, Minnesota,2011-09-26,0001285785,/wiki/The_Mosaic_Company
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,Schaumburg, Illinois,,0000068505,/wiki/Motorola_Solutions_Inc.
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,El Dorado, Arkansas,,0000717423,/wiki/Murphy_Oil
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,Amsterdam, Netherlands,,0000069499,/wiki/Mylan_N.V.
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,New York, New York,2008-10-22,0001120193,/wiki/NASDAQ_OMX_Group
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,,0001021860,/wiki/National_Oilwell_Varco_Inc.
NAVI,Navient,reports,Financials,Consumer Finance,Newark, Delaware,2014-05-01,0001593538,/wiki/Navient
NTAP,NetApp,reports,Information Technology,Internet Software & Services,Sunnyvale, California,,0001002047,/wiki/NetApp
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,Los Gatos, California,2010-12-20,0001065280,/wiki/Netflix_Inc.
NWL,Newell Rubbermaid Co.,reports,Consumer Discretionary,Housewares & Specialties,Sandy Springs, Georgia,1989-04-30,0000814453,/wiki/Newell_Rubbermaid_Co.
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2010-12-20,0000912750,/wiki/Newfield_Exploration_Co
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,Denver, Colorado,1969-06-30,0001164727,/wiki/Newmont_Mining_Corp._(Hldg._Co.)
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,New York, New York,2013-08-01,0001564708,/wiki/News_Corp._Class_A
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,New York, New York,2013-08-01,0001564708,/wiki/News_Corp._Class_B
NEE,NextEra Energy,reports,Utilities,MultiUtilities,Juno Beach, Florida,1976-06-30,0000753308,/wiki/NextEra_Energy
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,New York, New York,2013-07-09,0001492633,/wiki/Nielsen_Holdings
NKE,Nike,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Washington County, Oregon,1988-11-30,0000320187,/wiki/Nike_(company)
NI,NiSource Inc.,reports,Utilities,MultiUtilities,Merrillville, Indiana,,0001111711,/wiki/NiSource_Inc.
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2007-10-08,0000072207,/wiki/Noble_Energy_Inc
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,Seattle, Washington,1986-08-31,0000072333,/wiki/Nordstrom
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,Norfolk, Virginia,,0000702165,/wiki/Norfolk_Southern_Corp.
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,Chicago, Illinois,,0000073124,/wiki/Northern_Trust_Corp.
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,West Falls Church, Virginia,1985-06-30,0001133421,/wiki/Northrop_Grumman_Corp.
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,Princeton, New Jersey,2010-01-29,0001013871,/wiki/NRG_Energy
NUE,Nucor Corp.,reports,Materials,Steel,Charlotte, North Carolina,1985-04-30,0000073309,/wiki/Nucor_Corp.
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,Santa Clara, California,,0001045810,/wiki/Nvidia_Corporation
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,Springfield, Missouri,2009-03-27,0000898173,/wiki/O%27Reilly_Automotive
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,Los Angeles, California,1982-12-31,0000797468,/wiki/Occidental_Petroleum
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,New York, New York,,0000029989,/wiki/Omnicom_Group
OKE,ONEOK,reports,Energy,Oil & Gas Exploration & Production,Tulsa, Oklahoma,2010-03-15,0001039684,/wiki/ONEOK
ORCL,Oracle Corp.,reports,Information Technology,Application Software,Redwood Shores, California,1989-08-31,0001341439,/wiki/Oracle_Corp.
OI,Owens-Illinois Inc,reports,Materials,Metal & Glass Containers,Perrysburg, Ohio,2009-01-02,0000812074,/wiki/Owens-Illinois_Inc
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Bellevue, Washington,1980-12-31,0000075362,/wiki/PACCAR_Inc.
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,Cleveland, Ohio,1985-11-30,0000076334,/wiki/Parker-Hannifin
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,St. Paul, Minnesota,,0000891024,/wiki/Patterson_Companies
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,Penfield, New York,,0000723531,/wiki/Paychex_Inc.
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,San Jose, California,2015-07-20,0001633917,/wiki/PayPal
PNR,Pentair Ltd.,reports,Industrials,Industrial Conglomerates,Worsley, UK,2012-10-01,0000077360,/wiki/Pentair
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,Bridgeport, Connecticut,2008-11-13,0001378946,/wiki/People%27s_United_Financial
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,Purchase, New York,,0000077476,/wiki/PepsiCo_Inc.
PKI,PerkinElmer,reports,Health Care,Health Care Equipment & Services,Waltham, Massachusetts,1985-05-31,0000031791,/wiki/PerkinElmer
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2011-12-19,0001585364,/wiki/Perrigo
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,New York, New York,,0000078003,/wiki/Pfizer_Inc.
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,San Francisco, California,,0001004980,/wiki/PG%26E_Corp.
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York, New York,2008-03-31,0001413329,/wiki/Philip_Morris_International
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,2012-05-01,0001534701,/wiki/Phillips_66
PNW,Pinnacle West Capital,reports,Utilities,MultiUtilities,Phoenix, Arizona,,0000764622,/wiki/Pinnacle_West_Capital
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,Irving, Texas,2008-09-24,0001038357,/wiki/Pioneer_Natural_Resources
PBI,Pitney-Bowes,reports,Industrials,Office Services & Supplies,Stamford, Connecticut,,0000078814,/wiki/Pitney-Bowes
PNC,PNC Financial Services,reports,Financials,Banks,Pittsburgh, Pennsylvania,1988-04-30,0000713676,/wiki/PNC_Financial_Services
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2007-02-02,0001037038,/wiki/Polo_Ralph_Lauren_Corp.
PPG,PPG Industries,reports,Materials,Diversified Chemicals,Pittsburgh, Pennsylvania,,0000079879,/wiki/PPG_Industries
PPL,PPL Corp.,reports,Utilities,Electric Utilities,Allentown, Pennsylvania,,0000922224,/wiki/PPL_Corp.
PX,Praxair Inc.,reports,Materials,Industrial Gases,Danbury, Connecticut,1992-07-01,0000884905,/wiki/Praxair_Inc.
CFG,Citizens Financial Group,reports,Financials,Banks,Providence, Rhode Island,2016-01-29,0000759944,/wiki/Citizens_Financial_Group
PCLN,Priceline.com Inc,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Norwalk, Connecticut,2009-11-06,0001075531,/wiki/Priceline.com_Inc
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,Des Moines, Iowa,,0001126328,/wiki/Principal_Financial_Group
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,Cincinnati, Ohio,,0000080424,/wiki/Procter_%26_Gamble
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,Mayfield Village, Ohio,,0000080661,/wiki/Progressive_Corp.
PLD,Prologis,reports,Financials,Diversified Financial Services,San Francisco, California,,0001045609,/wiki/Prologis
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,Newark, New Jersey,,0001137774,/wiki/Prudential_Financial
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,Newark, New Jersey,,0000788784,/wiki/Public_Serv._Enterprise_Inc.
PSA,Public Storage,reports,Financials,REITs,Glendale, California,,0001393311,/wiki/Public_Storage
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,Atlanta, Georgia,1984-04-30,0000822416,/wiki/Pulte_Homes_Inc.
PVH,PVH Corp.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2013-02-15,0000078239,/wiki/PVH_Corp.
QRVO,Qorvo,reports,Information Technology,Semiconductors,Hillsboro, Oregon,2015-06-11,0001604778,/wiki/Qorvo
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,Houston, Texas,2009-07-01,0001050915,/wiki/Quanta_Services_Inc.
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,San Diego, California,,0000804328,/wiki/QUALCOMM_Inc.
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,Madison, New Jersey,,0001022079,/wiki/Quest_Diagnostics
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,Fort Worth, Texas,2007-12-21,0000315852,/wiki/Range_Resources
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,Waltham, Massachusetts,,0001047122,/wiki/Raytheon_Co.
O,Realty Income Corporation,reports,Financials,REITs,San Diego, California,2015-04-07,0000726728,/wiki/Realty_Income_Corporation
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,Raleigh, North Carolina,2009-07-27,0001087423,/wiki/Red_Hat_Inc.
REGN,Regeneron,reports,Health Care,Biotechnology,Tarrytown, New York,2013-05-01,0000872589,/wiki/Regeneron
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,Birmingham, Alabama,,0001281761,/wiki/Regions_Financial_Corp.
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,Phoenix, Arizona,2008-12-05,0001060391,/wiki/Republic_Services_Inc
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,Winston-Salem, North Carolina,,0001275283,/wiki/Reynolds_American_Inc.
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,Menlo Park, California,,0000315213,/wiki/Robert_Half_International
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,Milwaukee, Wisconsin,,0001024478,/wiki/Rockwell_Automation_Inc.
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,Cedar Rapids, Iowa,,0001137411,/wiki/Rockwell_Collins
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,Sarasota, Florida,2009-12-23,0000882835,/wiki/Roper_Industries
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,Pleasanton, California,2009-12-21,0000745732,/wiki/Ross_Stores
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida,2014-12-05,0000884887,/wiki/Royal_Caribbean_Cruises_Ltd
R,Ryder System,reports,Industrials,Industrial Conglomerates,Miami, Florida,1982-12-31,0000085961,/wiki/Ryder_System
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,San Francisco, California,2008-09-15,0001108524,/wiki/Salesforce.com
SNDK,SanDisk Corporation,reports,Information Technology,Computer Storage & Peripherals,Milpitas, California,,0001000180,/wiki/SanDisk_Corporation
SCG,SCANA Corp,reports,Utilities,MultiUtilities,Cayce, South Carolina,2009-01-02,0000754737,/wiki/SCANA_Corp
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,Cura\xe7ao, Kingdom of the Netherlands,1965-03-31,0000087347,/wiki/Schlumberger_Ltd.
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,Cincinnati, Ohio,2008-07-01,0001430602,/wiki/Scripps_Networks_Interactive_Inc.
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,Dublin, Ireland,2012-07-02,0001137789,/wiki/Seagate_Technology
SEE,Sealed Air Corp.(New),reports,Materials,Paper Packaging,Elmwood Park, New Jersey,,0001012100,/wiki/Sealed_Air_Corp.(New)
SRE,Sempra Energy,reports,Utilities,MultiUtilities,San Diego, California,,0001032208,/wiki/Sempra_Energy
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,Cleveland, Ohio,1964-06-30,0000089800,/wiki/Sherwin-Williams
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,Hamilton, Bermuda,2015-07-29,0000832988,/wiki/Signet_Jewelers
SPG,Simon Property Group Inc,reports,Financials,REITs,Indianapolis, Indiana,,0001063761,/wiki/Simon_Property_Group_Inc
